sample_id,distortion,level_index,level,distorted_snr_db,restored_snr_db,orb_distorted,orb_restored,canny_distorted,canny_restored,seg_distorted_image_miou,seg_restored_image_miou,detections_distorted,detections_restored
munster_000094_000019,GaussNoise,1,10.0,17.52632747927325,18.78134444633649,0.8875,0.39625,0.9653086047170644,0.6009042165790505,0.43831987224115343,0.433554889485434,254,237
munster_000139_000019,GaussNoise,1,10.0,19.579172832886677,20.40464090220223,0.86375,0.36,0.9672513045786779,0.6240346506831715,0.5613989926734465,0.5307004336874439,277,282
munster_000159_000019,GaussNoise,1,10.0,20.482721736951564,25.46165167027035,0.8025,0.3675,0.9770811800858514,0.8135106471777797,0.5302300002841932,0.4101812592675528,54,64
frankfurt_000000_009688,GaussNoise,2,20.0,13.391013435315555,22.793343457765115,0.725,0.33625,0.8475996487348547,0.41435148483191503,0.47234017503673387,0.4220454468840913,67,80
frankfurt_000000_011074,GaussNoise,2,20.0,14.635263187619351,22.411075847732093,0.73375,0.3825,0.9027464066476775,0.5979230977190121,0.43621294479477674,0.3621274765467473,165,106
frankfurt_000000_012868,GaussNoise,2,20.0,15.156392407363171,20.4042337189628,0.76,0.47625,0.9375536308145591,0.6726287437441256,0.3423216228065837,0.3475084234158564,262,223
frankfurt_000000_016005,GaussNoise,2,20.0,13.856523557971578,21.530766868305214,0.71375,0.38125,0.8991256784077617,0.6075662041114507,0.3428890798335825,0.292249455749327,166,105
frankfurt_000000_020321,GaussNoise,2,20.0,13.901778281242718,20.481729151105004,0.77875,0.355,0.9112738144634304,0.5267250450011739,0.43069181697690223,0.454089686536885,190,156
frankfurt_000000_022254,GaussNoise,2,20.0,12.351388257231164,21.1502316186389,0.72375,0.33375,0.8884561058240044,0.4695872342003109,0.4828198457155551,0.485296597065552,232,184
frankfurt_000001_010830,GaussNoise,2,20.0,13.59781372094554,19.291860045779426,0.8375,0.54875,0.9376034548121189,0.6852942711202873,0.5468190521045858,0.414137214098616,247,211
frankfurt_000001_021406,GaussNoise,2,20.0,13.269289208940807,20.47669388008969,0.73375,0.36,0.9235408929207938,0.4774537199994566,0.5750301623431897,0.4359681290484785,92,80
frankfurt_000001_046779,GaussNoise,2,20.0,14.112006260573928,20.09590968257063,0.7625,0.46,0.908954318043348,0.6470859734702337,0.3944625293506696,0.3217185882612548,259,208
frankfurt_000001_054640,GaussNoise,2,20.0,15.286323219506334,20.816710123375056,0.705,0.32125,0.927811191264903,0.6082739281079923,0.4546711791537678,0.434343108368134,254,205
frankfurt_000001_058504,GaussNoise,2,20.0,13.816594038003185,20.801043903126594,0.77,0.3925,0.9024072670263388,0.6124016382154832,0.49823556998151675,0.534728827277267,231,180
frankfurt_000001_062250,GaussNoise,2,20.0,12.849813008627624,22.050738839122936,0.63375,0.25875,0.8444974238142102,0.5829741309016531,0.34629698198995407,0.32225101242529985,228,132
frankfurt_000001_064651,GaussNoise,2,20.0,14.923588363458112,21.149528525630185,0.7475,0.3725,0.9254529532388562,0.5767101414809647,0.47632878638858483,0.47689225455645,191,174
frankfurt_000001_080091,GaussNoise,2,20.0,14.630455326753717,20.58015720820117,0.71375,0.36625,0.9371866404616377,0.6083175530192224,0.47508640956792414,0.34850222238618195,257,255
